num‚ro crabe,date,Bateau/ position,cond,status reprod,LC,LA,Poids,Couleur oeufs,num‚ro crabe,Coleur oeufs (dev),Couleur gonade,% oeufs restants,num‚ro crabe,masse total (oeufs),?ufs compt‚s,masse s-echantillon
1,26-07-2010,Marco-Michel,3M,M,64.30,43.75,94.0,OF,1,O,O,75,1,2.3291,546,0.0335
2,26-07-2010,Marco-Michel,2,P,54.46,37.14,54.0,OC,2,OC,O,75,2,1.3471,500,0.0286
3,26-07-2010,Marco-Michel,3M,M,63.40,44.76,88.7,OF,3,O,O,75,3,1.8990,500,0.0285
4,26-07-2010,Marco-Michel,2,P,70.88,51.59,118.8,OC,4,OC,O,75,4,2.9871,524,0.0322
5,26-07-2010,Marco-Michel,2,P,69.23,44.37,114.1,OC,5,OC,O,75,5,3.2897,500,0.0314
6,26-07-2010,Marco-Michel,2,P,70.19,47.29,112.4,OC,6,O,O,75,6,3.1777,500,0.0331
7,26-07-2010,Marco-Michel,2,P,75.21,46.67,135.3,OC,7,OC,O,75,7,3.2942,503,0.0305
8,26-07-2010,Marco-Michel,2,P,60.39,39.60,72.7,OC,8,OC,O,75,8,1.9837,550,0.0369
9,26-07-2010,Marco-Michel,2,P,56.19,36.60,59.7,OC,9,O,O,75,9,1.6612,500,0.0314
10,26-07-2010,Marco-Michel,3M,M,66.03,44.84,99.5,OF,10,O,O,75,10,2.5538,500,0.0288
11,26-07-2010,Marco-Michel,2,P,68.01,45.29,98.6,OC,11,O,O,75,11,2.5784,500,0.0325
12,26-07-2010,Marco-Michel,2,P,63.77,44.47,87.3,OC,12,OC,OC,75,12,2.2912,598,0.0341
13,26-07-2010,Marco-Michel,3M,M,56.12,38.61,68.2,OF,13,O,O,75,13,1.7421,534,0.0310
14,26-07-2010,Marco-Michel,2,P,61.48,41.84,74.1,OC,14,O,O,75,14,2.0123,500,0.0321
15,26-07-2010,Marco-Michel,4,M,58.13,39.27,71.6,OF,15,OC,O,75,15,2.9251,500,0.0335
16,26-07-2010,Marco-Michel,2,P,66.73,46.08,103.4,OC,16,OC,O,75,16,2.9263,508,0.0323
17,26-07-2010,Marco-Michel,3M,M,64.19,43.97,91.9,OC,17,O,O,75,17,2.4935,505,0.0317
18,26-07-2010,Marco-Michel,2,P,61.71,40.99,79.5,OC,18,O,O,75,18,2.3210,500,0.0316
19,26-07-2010,Marco-Michel,4,M,62.48,42.16,83.8,OC,19,O,O,75,19,2.4684,519,0.0313
20,26-07-2010,Marco-Michel,2,P,55.11,37.12,60.5,OC,20,O,O,75,20,1.5284,501,0.0293
21,26-07-2010,Marco-Michel,2,P,58.10,39.44,69.7,OC,21,OC,O,75,21,2.0286,517,0.0310
22,26-07-2010,Marco-Michel,3,M,63.88,45.29,92.7,OC,22,OC,O,75,22,2.6006,561,0.0342
23,26-07-2010,Marco-Michel,2,P,57.88,39.09,62.8,OF,23,O,O,75,23,1.5729,521,0.0298
24,26-07-2010,Marco-Michel,2,P,73.38,49.68,119.8,OC,24,O,O,75,24,3.2383,500,0.0308
25,26-07-2010,Marco-Michel,4,M,65.04,44.51,90.8,OC,25,O,O,75,25,2.3209,502,0.0320
26,26-07-2010,Marco-Michel,2,P,56.96,40.92,67.6,OC,26,O,O,75,26,1.9658,500,0.0308
27,26-07-2010,Marco-Michel,2,P,53.96,36.78,55.1,OC,27,O,O,75,27,1.4477,500,0.0311
28,26-07-2010,Marco-Michel,3,M,55.04,38.08,63.9,OC,28,O,O,100,28,1.4549,500,0.0279
29,26-07-2010,Marco-Michel,3,M,60.08,42.24,78.8,OC,29,O,O,100,29,2.0579,515,0.0285
30,26-07-2010,Marco-Michel,3M,M,60.52,41.61,81.6,OC,30,O,O,100,30,1.9800,515,0.0277
31,26-07-2010,Marco-Michel,3,P,60.15,40.97,85.1,OC,31,OC,O,100,31,1.8215,512,0.0346
32,26-07-2010,Marco-Michel,3,P,62.61,43.19,91.3,OC,32,O,O,100,32,2.2656,534,0.0330
33,26-07-2010,Marco-Michel,3,P,63.18,42.98,87.0,OC,33,O,O,75,33,2.0324,500,0.0335
34,26-07-2010,Marco-Michel,2,P,61.01,42.89,83.2,OC,34,O,O,100,34,2.0542,500,0.0329
35,26-07-2010,Marco-Michel,2,P,55.66,37.54,60.3,OF,35,O,O,75,35,1.6070,520,0.0294
36,26-07-2010,Marco-Michel,4,M,66.30,46.22,100.2,OF,36,O,OC,75,36,2.7156,555,0.0316
37,26-07-2010,Marco-Michel,2,P,63.49,44.68,92.5,OF,37,O,O,75,37,2.2664,500,0.0283
38,26-07-2010,Marco-Michel,3M,M,64.09,43.77,100.4,OF,38,O,O,75,38,2.5583,500,0.0321
39,26-07-2010,Marco-Michel,2,P,64.09,44.55,93.9,OF,39,O,O,75,39,2.3529,500,0.0284
40,26-07-2010,Marco-Michel,2,P,67.84,43.98,96.7,OC,40,OC,O,75,40,2.7538,500,0.0291
41,26-07-2010,Marco-Michel,2,P,58.83,39.61,74.0,OF,41,O,O,75,41,1.7953,500,0.0346
42,26-07-2010,Marco-Michel,2,P,64.02,44.00,94.2,OC,42,O,OC,100,42,2.4180,547,0.0312
43,26-07-2010,Marco-Michel,3M,M,55.10,35.72,58.7,OF,43,O,O,75,43,1.5503,507,0.0319
44,26-07-2010,Marco-Michel,2,P,69.65,47.32,117.3,OC,44,O,O,75,44,3.0167,500,0.0350
45,26-07-2010,Marco-Michel,2M,P,59.24,41.70,81.1,OF,45,O,O,75,45,1.8019,500,0.0285
46,26-07-2010,Marco-Michel,2,P,67.59,46.20,106.1,OC,46,O,OC,75,46,2.9321,500,0.0298
47,26-07-2010,Marco-Michel,2,P,63.99,45.65,93.3,OF,47,O,O,75,47,2.6605,532,0.0327
48,26-07-2010,Marco-Michel,2,P,64.71,43.89,97.7,OF,48,OC,O,75,48,2.4732,587,0.0362
49,26-07-2010,Marco-Michel,3,M,59.38,41.60,70.5,OC,49,OC,O,75,49,2.0354,559,0.0320
50,26-07-2010,Marco-Michel,3,P,56.56,39.30,59.2,OF,50,OC,O,50,50,1.6020,519,0.0305
51,26-07-2010,Marco-Michel,2,P,71.73,51.37,137.8,OC,51,OC,O,75,51,3.5375,528,0.0342
52,26-07-2010,Marco-Michel,3,P,57.64,37.22,67.2,OC,52,OC,O,75,52,1.6931,500,0.0326
53,26-07-2010,Marco-Michel,2,P,68.02,46.35,95.9,-,53,-,O,0,53,,,
54,12-08-2010,Marco-Michel,2,P,59.25,40.71,75.2,OF,54,O,O,75,54,1.7070,500,0.0307
55,12-08-2010,Marco-Michel,2,P,48.55,31.56,38.6,OF,55,O,O,50,55,0.9028,500,0.0263
56,12-08-2010,Marco-Michel,2,P,60.27,41.81,73.5,OF,56,OC,O,75,56,1.8835,500,0.0335
57,12-08-2010,Marco-Michel,2,P,54.80,37.40,58.3,OC,57,O,O,75,57,1.5599,500,0.0276
58,12-08-2010,Marco-Michel,2M,M,51.68,35.00,53.6,OF,58,O,O,75,58,1.1475,500,0.0281
59,12-08-2010,Marco-Michel,2M,M,53.51,37.14,58.0,OF,59,O,O,75,59,1.0887,505,0.0289
60,12-08-2010,Marco-Michel,3,M,63.12,41.72,92.2,OC,60,OC,O,75,60,N/A,N/A,N/A
61,12-08-2010,Marco-Michel,2,P,54.73,39.48,59.2,OF,61,O,O,75,61,1.3488,500,0.0257
62,12-08-2010,Marco-Michel,3M,M,44.05,28.50,35.6,OF,62,O,O,50,62,0.7455,550,0.0322
63,12-08-2010,Marco-Michel,3,M,43.07,30.23,23.9,OC,63,O,O,75,63,0.6212,542,0.0284
64,12-08-2010,Marco-Michel,3,M,61.49,45.06,79.2,OC,64,OC,OC,75,64,2.2697,515,0.0312
65,12-08-2010,Marco-Michel,2M,P,45.73,29.08,61.4,OC,65,O,O,75,65,0.6389,549,0.0338
66,12-08-2010,Marco-Michel,2M,P,54.36,35.54,60.6,OF,66,O,O,100,66,1.2899,531,0.0291
67,12-08-2010,Marco-Michel,4,M,42.75,32.78,34.4,OC,67,OC,OC,75,67,1.2742,534,0.0332
68,12-08-2010,Marco-Michel,2M,P,61.85,43.08,89.0,OF,68,O,O,50,68,2.2903,543,0.0310
69,12-08-2010,Marco-Michel,2,M,50.88,34.91,45.5,OC,69,OC,OC,50,69,1.1970,637,0.0366
70,12-08-2010,Marco-Michel,3,M,45.29,29.86,34.1,OC,70,OC,O,75,70,0.7243,567,0.0306
71,12-08-2010,Marco-Michel,2,P,43.69,29.27,31.4,OF,71,O,O,75,71,0.7578,545,0.0339
72,12-08-2010,Marco-Michel,2,P,61.88,43.34,81.7,OC,72,O,O,75,72,2.1050,525,0.0306
73,12-08-2010,Marco-Michel,3M,M,62.10,41.45,84.4,OF,73,O,O,75,73,1.8099,500,0.0298
74,12-08-2010,Marco-Michel,2M,P,45.46,31.39,33.8,OF,74,O,O,75,74,0.7697,532,0.0279
75,12-08-2010,Marco-Michel,2,P,52.99,35.62,51.5,OC,75,OC,O,75,75,1.4129,509,0.0283
76,12-08-2010,Marco-Michel,2M,P,53.26,37.75,52.4,OF,76,O,O,75,76,1.3624,507,0.0286
77,12-08-2010,Marco-Michel,2,P,51.32,34.79,50.3,OC,77,O,O,100,77,1.2632,553,0.0318
78,12-08-2010,Marco-Michel,4,M,45.83,32.19,38.1,OF,78,O,O,100,78,1.3144,500,0.0333
79,12-08-2010,Marco-Michel,2,P,65.70,47.02,109.9,OF,79,OC,O,75,79,2.8260,500,0.0318
80,12-08-2010,Marco-Michel,2M,P,57.17,39.62,64.3,OC,80,OC,O,75,80,1.8306,500,0.0301
81,12-08-2010,Marco-Michel,3M,M,56.43,37.57,73.1,OF,81,OF,O,100,81,1.0605,500,0.0267
82,12-08-2010,Marco-Michel,2,P,43.64,29.39,30.8,OF,82,O,O,75,82,0.6936,500,0.0264
83,12-08-2010,Marco-Michel,2,P,56.71,40.89,72.0,OF,83,O,O,75,83,1.5969,500,0.0285
84,12-08-2010,Marco-Michel,4,M,42.45,29.21,31.1,OF,84,OC,OC,100,84,1.1124,543,0.0347
85,12-08-2010,Marco-Michel,3,M,50.12,35.23,47.8,OC,85,OC,O,75,85,1.0362,500,0.0279
86,12-08-2010,Marco-Michel,2,P,43.27,30.34,26.7,OC,86,OC,O,75,86,0.6622,500,0.0271
87,12-08-2010,Marco-Michel,4,M,50.40,36.45,50.4,OF,87,O,O,100,87,1.3756,527,0.0315
88,12-08-2010,Marco-Michel,2,P,49.37,34.30,42.9,OC,88,OC,O,50,88,0.8331,500,0.0266
89,12-08-2010,Marco-Michel,2M,P,43.17,28.04,29.6,OF,89,O,O,50,89,0.5529,516,0.0269
90,12-08-2010,Marco-Michel,2M,P,53.19,34.86,60.7,OF,90,O,O,75,90,1.2184,500,0.0267
91,12-08-2010,Marco-Michel,3,M,48.23,33.64,38.5,OF,91,OC,OC,75,91,0.9161,515,0.0279
92,12-08-2010,Marco-Michel,3M,M,41.57,28.51,30.8,OC,92,OC,OC,100,92,0.9694,500,0.0314
